id,localidad,pais,temperatura_fahrenheit,fecha_y_hora,cobertura_nubes,indice_uv,presion_atmosferica,velocidad_viento,created_at,updated_at,delta_temperatura_horaria,delta_temperatura_diaria
1,Buenos Aires,Colombia,88.34,2024-01-01,Mínima,8.7,1021.0,3.8,2024-12-19 12:01:19,2024-12-19 12:01:19,,
2,Buenos Aires,Colombia,65.48,2024-01-01,Total,8.6,1016.4,2.0,2024-12-19 12:01:19,2024-12-19 12:01:19,-12.7,-12.7
3,Aranjuez,Colombia,61.16,2024-01-01,Total,3.6,1017.3,6.5,2024-12-19 12:01:19,2024-12-19 12:01:19,,
4,Robledo,Colombia,82.75999999999999,2024-01-01,Total,3.3,1014.6,13.3,2024-12-19 12:01:19,2024-12-19 12:01:19,,
5,El Poblado,Colombia,66.2,2024-01-02,Total,4.9,1002.7,2.1,2024-12-19 12:01:19,2024-12-19 12:01:19,-15.100000000000001,-15.100000000000001
6,Castilla,Colombia,86.0,2024-01-02,Mínima,10.2,1014.6,4.8,2024-12-19 12:01:19,2024-12-19 12:01:19,-0.10000000000000142,-0.10000000000000142
7,Buenos Aires,Colombia,65.48,2024-01-02,Total,4.1,1011.3,9.6,2024-12-19 12:01:19,2024-12-19 12:01:19,1.6000000000000014,1.6000000000000014
8,Buenos Aires,Colombia,70.52,2024-01-01,Total,1.1,1018.0,2.8,2024-12-19 12:01:19,2024-12-19 12:01:19,2.799999999999997,2.799999999999997
9,Castilla,Colombia,61.519999999999996,2024-01-02,Total,1.9,1000.8,5.9,2024-12-19 12:01:19,2024-12-19 12:01:19,-13.600000000000001,-13.600000000000001
10,Castilla,Colombia,87.08000000000001,2024-01-02,Mínima,1.7,1007.4,3.9,2024-12-19 12:01:19,2024-12-19 12:01:19,14.200000000000003,14.200000000000003
11,Robledo,Colombia,88.34,2024-01-01,Mínima,3.6,1003.4,1.5,2024-12-19 12:01:19,2024-12-19 12:01:19,3.1000000000000014,3.1000000000000014
12,Aranjuez,Colombia,87.08000000000001,2024-01-03,Total,7.5,1015.0,12.9,2024-12-19 12:01:19,2024-12-19 12:01:19,-3.0,-3.0
13,Buenos Aires,Colombia,80.96000000000001,2024-01-04,Total,9.6,1009.4,14.9,2024-12-19 12:01:19,2024-12-19 12:01:19,-4.199999999999999,-4.199999999999999
14,Robledo,Colombia,85.1,2024-01-03,Mínima,3.5,1018.3,1.9,2024-12-19 12:01:19,2024-12-19 12:01:19,2.1000000000000014,2.1000000000000014
15,Belen,Colombia,72.5,2024-01-02,Total,6.1,1001.3,4.3,2024-12-19 12:01:19,2024-12-19 12:01:19,-8.8,-8.8
16,Aranjuez,Colombia,78.62,2024-01-03,Parcial,3.4,1018.1,5.6,2024-12-19 12:01:19,2024-12-19 12:01:19,-4.700000000000003,-4.700000000000003
17,Aranjuez,Colombia,62.96,2024-01-03,Total,4.1,1001.8,8.2,2024-12-19 12:01:19,2024-12-19 12:01:19,-8.7,-8.7
18,El Poblado,Colombia,64.58000000000001,2024-01-03,Total,1.5,1018.6,2.7,2024-12-19 12:01:19,2024-12-19 12:01:19,1.0,1.0
